[14.07.2019 20:37:36] Interpreter #0 got file C:\LatinName\Progs\empty.npr
[14.07.2019 20:37:45] interpreter #0 executing 0 0
[14.07.2019 20:37:45] interpreter #0 executing 0 0
[14.07.2019 20:37:45] interpreter #0 executing 0 0
[14.07.2019 20:37:45] interpreter #0 executing 0 0
[14.07.2019 20:37:45] interpreter #0 executing 0 0
[14.07.2019 20:37:45] interpreter #0 executing 0 0
[14.07.2019 20:37:45] interpreter #0 executing 0 0
[14.07.2019 20:37:46] interpreter #0 executing 0 0
[14.07.2019 20:37:46] interpreter #0 executing 0 0
[14.07.2019 20:37:46] interpreter #0 executing 0 0
[14.07.2019 20:37:46] interpreter #0 executing 0 0
[14.07.2019 20:37:46] interpreter #0 executing 0 0
[14.07.2019 20:37:46] interpreter #0 executing 0 0
[14.07.2019 20:37:46] interpreter #0 executing 0 0
[14.07.2019 20:37:46] interpreter #0 executing 0 0
[14.07.2019 20:37:46] interpreter #0 executing 0 0
[14.07.2019 20:37:47] interpreter #0 executing 0 0
[14.07.2019 20:37:47] interpreter #0 executing 0 0
[14.07.2019 20:37:47] interpreter #0 executing 0 0
[14.07.2019 20:37:47] interpreter #0 executing 0 0
[14.07.2019 20:37:47] interpreter #0 executing 0 0
[14.07.2019 20:37:47] interpreter #0 executing 0 0
[14.07.2019 20:37:47] interpreter #0 executing 0 0
[14.07.2019 20:37:47] interpreter #0 executing 0 0
[14.07.2019 20:37:47] interpreter #0 executing 0 0
[14.07.2019 20:37:48] interpreter #0 executing 0 0
[14.07.2019 20:37:48] interpreter #0 executing 0 0
[14.07.2019 20:37:48] interpreter #0 executing 0 0
[14.07.2019 20:37:48] interpreter #0 executing 0 0
[14.07.2019 20:37:48] interpreter #0 executing 0 0
[14.07.2019 20:37:48] interpreter #0 executing 0 0
[14.07.2019 20:37:48] interpreter #0 executing 0 0
[14.07.2019 20:37:48] interpreter #0 executing 0 0
[14.07.2019 20:37:48] interpreter #0 executing 0 0
[14.07.2019 20:37:49] interpreter #0 executing 0 0
[14.07.2019 20:37:49] interpreter #0 executing 0 0
[14.07.2019 20:37:49] interpreter #0 executing 0 0
[14.07.2019 20:37:49] interpreter #0 executing 0 0
[14.07.2019 20:37:49] interpreter #0 executing 0 0
[14.07.2019 20:37:49] interpreter #0 executing 0 0
[14.07.2019 20:37:49] interpreter #0 executing 0 0
[14.07.2019 20:37:49] interpreter #0 executing 0 0
[14.07.2019 20:37:49] interpreter #0 executing 0 0
[14.07.2019 20:37:50] interpreter #0 executing 0 0
[14.07.2019 20:37:50] interpreter #0 executing 0 0
[14.07.2019 20:37:50] interpreter #0 executing 0 0
[14.07.2019 20:37:50] interpreter #0 executing 0 0
[14.07.2019 20:37:50] interpreter #0 executing 0 0
[14.07.2019 20:37:50] interpreter #0 executing 0 0
[14.07.2019 20:37:50] interpreter #0 executing 0 0
[14.07.2019 20:37:50] interpreter #0 executing 0 0
[14.07.2019 20:37:50] interpreter #0 executing 0 0
[14.07.2019 20:37:50] interpreter #0 executing 0 0
[14.07.2019 20:37:51] interpreter #0 executing 0 0
[14.07.2019 20:37:51] interpreter #0 executing 0 0
[14.07.2019 20:37:51] interpreter #0 executing 0 0
[14.07.2019 20:37:51] interpreter #0 executing 0 0
[14.07.2019 20:37:51] interpreter #0 executing 0 0
[14.07.2019 20:37:51] interpreter #0 executing 0 0
[14.07.2019 20:37:51] interpreter #0 executing 0 0
[14.07.2019 20:37:51] interpreter #0 executing 0 0
[14.07.2019 20:37:51] interpreter #0 executing 0 0
[14.07.2019 20:37:51] #3 left pause
[14.07.2019 20:37:52] interpreter #0 executing 0 0
[14.07.2019 20:37:52] interpreter #0 executing 0 0
[14.07.2019 20:37:52] interpreter #0 executing 0 0
[14.07.2019 20:37:52] interpreter #0 executing 0 0
[14.07.2019 20:37:52] interpreter #0 executing 0 0
[14.07.2019 20:37:52] interpreter #0 executing 0 0
[14.07.2019 20:37:52] interpreter #0 executing 0 0
[14.07.2019 20:37:52] interpreter #0 executing 0 0
[14.07.2019 20:37:52] interpreter #0 executing 0 0
[14.07.2019 20:37:53] interpreter #0 executing 0 0
[14.07.2019 20:37:53] interpreter #0 executing 0 0
[14.07.2019 20:37:53] interpreter #0 executing 0 0
[14.07.2019 20:37:53] interpreter #0 executing 0 0
[14.07.2019 20:37:53] interpreter #0 executing 0 0
[14.07.2019 20:37:53] interpreter #0 executing 0 0
[14.07.2019 20:37:53] interpreter #0 executing 0 0
[14.07.2019 20:37:53] interpreter #0 executing 0 0
[14.07.2019 20:37:53] interpreter #0 executing 0 0
[14.07.2019 20:37:54] interpreter #0 executing 0 0
[14.07.2019 20:37:54] interpreter #0 executing 0 0
[14.07.2019 20:37:54] interpreter #0 executing 0 0
[14.07.2019 20:37:54] interpreter #0 executing 0 0
[14.07.2019 20:37:54] interpreter #0 executing 0 0
[14.07.2019 20:37:54] interpreter #0 executing 0 0
[14.07.2019 20:37:54] interpreter #0 executing 0 0
[14.07.2019 20:37:54] interpreter #0 executing 0 0
[14.07.2019 20:37:54] interpreter #0 executing 0 0
[14.07.2019 20:37:55] interpreter #0 executing 0 0
[14.07.2019 20:37:55] interpreter #0 executing 0 0
[14.07.2019 20:37:55] interpreter #0 executing 0 0
[14.07.2019 20:37:55] interpreter #0 executing 0 0
[14.07.2019 20:37:55] interpreter #0 executing 0 0
[14.07.2019 20:37:55] interpreter #0 executing 0 0
[14.07.2019 20:37:55] interpreter #0 executing 0 0
[14.07.2019 20:37:55] interpreter #0 executing 0 0
